"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2103840";"DINACICLIB";"3.0";"396.50";"0";"2.28";"4";"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"21.18";"0.40";"6.12";"9.07";"1";"CHEMBL4403344";"Inhibition of CDK9 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3116";"Cyclin-dependent kinase 9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402527";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";"";"4.0"
"CHEMBL2011870";"";"None";"302.40";"0";"3.72";"14";"COc1ccc(-c2nsc(NC(=O)[C@@H]3C[C@H]3C)c2C)cc1";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2016180";"Allosteric antagonist activity at human recombinant mGluR1 expressed in AV12 cells assessed as intracellular calcium concentration using Fluo-3 dye by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"AV12";"None";"";"";"";"CHEMBL3772";"Metabotropic glutamate receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010791";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"9.0"
"CHEMBL2011870";"";"None";"302.40";"0";"3.72";"14";"COc1ccc(-c2nsc(NC(=O)[C@@H]3C[C@H]3C)c2C)cc1";"IC50";"'='";"0.9";"nM";"9.05";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2016182";"Antagonist activity at rat mGluR1";"F";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL4477";"Metabotropic glutamate receptor 1";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL2010791";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.9"
"CHEMBL2103774";"TIBOLONE";"4.0";"312.45";"0";"3.88";"TIBOLONE";"C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909117";"DRUGMATRIX: Tumor Necrosis Factor (TNF), Non-Selective radioligand binding (ligand: [125I] TNF-alpha)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"U-937";"Membrane";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308006";"";"";"";""
"CHEMBL2103774";"TIBOLONE";"4.0";"312.45";"0";"3.88";"TIBOLONE";"C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909202";"DRUGMATRIX: Protein Serine/Threonine Phosphatase, PPP3CA (Calcineurin, PP2B) enzyme inhibition (substrate: DiFMUP)";"B";"BAO_0000357";"single protein format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL4445";"Serine/threonine protein phosphatase 2B catalytic subunit, alpha isoform";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"";""
"CHEMBL2103774";"TIBOLONE";"4.0";"312.45";"0";"3.88";"TIBOLONE";"C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"";""
"CHEMBL2013170";"";"None";"445.50";"0";"3.23";"32";"NCNC(=O)c1cncc(-c2cnc(Nc3cc(N4CCC(F)(F)CC4)ccn3)s2)c1";"IC50";"'='";"317.0";"nM";"6.50";"";"";"UO_0000065";"14.59";"0.29";"3.27";"5.96";"0";"CHEMBL2014580";"Inhibition of CDK7";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3055";"Cyclin-dependent kinase 7";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010672";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"317.0"
"CHEMBL2103872";"CEFTOLOZANE";"4.0";"666.70";"3";"-3.90";"CXA-101, FR-264205";"Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)[O-])c3nsc(N)n3)[C@H]2SC1";"IC50";"'='";"0.02";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1658202";"Inhibition of Pseudomonas aeruginosa PAO1 PBP3 by SDS-PAGE";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1649308";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"0.02"
"CHEMBL2103831";"NAPROXCINOD";"3.0";"347.37";"0";"3.48";"Naproxcinod";"COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1";"IC50";"'='";"5248.07";"nM";"5.28";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3880993";"Vasorelaxing effect in Wistar rat thoracic aorta ring assessed as reduction of KCl-induced contractile tone";"F";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3638215";"Thoracic aorta";"None";"None";"";"";"";"CHEMBL612546";"Molecular identity unknown";"";"UNKNOWN";"CHEMBL3880420";"38";"SureChEMBL Patent Bioactivity Data";"";"2013";"None";"";"";"";"5.28"
"CHEMBL2103863";"ABEXINOSTAT";"3.0";"397.43";"0";"2.42";"20";"CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12";"IC50";"'='";"350.0";"nM";"6.46";"";"";"UO_0000065";"16.24";"0.30";"4.04";"6.21";"0";"CHEMBL4771396";"Inhibition of human HDAC7 expressed in baculovirus infected sf9 cells using (Boc-Lys(trifluoroacetyl)-AMC) as substrate by fluorescence-based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL2716";"Histone deacetylase 7";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4765362";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"INHIBITOR";"";"350.0"
"CHEMBL2105685";"AMUVATINIB HYDROCHLORIDE";"-1.0";"483.98";"0";"3.30";"MP470 HCl";"Cl.S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"16.53";"0.32";"4.10";"9.75";"0";"CHEMBL3992007";"Inhibition of PDGFRalpha V561D mutant (unknown origin)";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"P16234";"V561D";"CHEMBL2007";"Platelet-derived growth factor receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3991943";"38";"SureChEMBL Patent Bioactivity Data";"";"2013";"None";"";"";"";"0.04"
"CHEMBL2105685";"AMUVATINIB HYDROCHLORIDE";"-1.0";"483.98";"0";"3.30";"MP470 HCl";"Cl.S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1";"IC50";"'='";"5140.0";"nM";"5.29";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3992020";"Cytotoxic activity in human DMS153 cells expressing Rad51";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"DMS-153";"None";"";"";"";"CHEMBL2366167";"DMS-153";"Homo sapiens";"CELL-LINE";"CHEMBL3991943";"38";"SureChEMBL Patent Bioactivity Data";"";"2013";"CHEMBL3308260";"";"";"";"5.14"
"CHEMBL2103842";"VARLITINIB";"2.0";"466.95";"1";"5.25";"1";"C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5227182";"Anticancer activity against human HCC70 cells assessed as cell growth inhibition incubated for 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HCC70";"None";"";"";"";"CHEMBL1075461";"HCC70";"Homo sapiens";"CELL-LINE";"CHEMBL5226297";"1";"Scientific Literature";"J Med Chem";"2021";"CHEMBL3308739";"TIME = 72.0 hr";"";"";"10.0"
"CHEMBL103870";"";"None";"443.96";"0";"4.04";"1b";"COc1cc2ncnc(N3CCN(/C(S)=N\c4ccc(Cl)cc4)CC3)c2cc1OC";"IC50";"'='";"790.0";"nM";"6.10";"";"";"UO_0000065";"13.75";"0.28";"2.06";"9.67";"0";"CHEMBL768948";"Concentration required for 50% inhibition against autophosphorylation of Platelet-derived growth factor receptor beta in intact cells using a two site ELISA";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2095189";"Platelet-derived growth factor receptor";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1136005";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"0.79"
"CHEMBL2103840";"DINACICLIB";"3.0";"396.50";"0";"2.28";"SCH727965";"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4386165";"Antiproliferative activity against human HT cells assessed as growth inhibition measured after 72 hrs by calcein AM dye-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT";"None";"";"";"";"CHEMBL2366130";"HT";"Homo sapiens";"CELL-LINE";"CHEMBL4385606";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3308143";"";"";"";"0.019"
"CHEMBL2036870";"";"None";"317.35";"0";"3.48";"2h";"Cn1c(-c2ccnc(Nc3cccc(O)c3)n2)nc2ccccc21";"IC50";"'='";"5200.0";"nM";"5.28";"";"";"UO_0000065";"16.65";"0.30";"1.80";"6.97";"0";"CHEMBL2038024";"Inhibition of recombinant FAK using poly(Glu,Tyr)4 as substrate assessed as inhibition of [33P]Phosphate incorporation into substrate after 80 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2695";"Focal adhesion kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2034932";"1";"Scientific Literature";"Eur J Med Chem";"2012";"None";"";"";"";"5.2"
"CHEMBL2103886";"RESCIMETOL";"2.0";"590.67";"1";"4.26";"SID170465875";"COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2ccc(O)c(OC)c2)[C@@H]1OC";"IC50";"";"10000.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL3562026";"PubChem BioAssay. Decreased HeLa cell count-IC50.   (Class of assay: confirmatory) ";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"CHEMBL3308376";"";"";"";"10.0"
"CHEMBL2103830";"FOSTAMATINIB";"4.0";"580.47";"2";"3.09";"COVC-3894205924";"COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC";"IC50";"'>'";"19952.62";"nM";"";"";"No. Measurements = 1";"UO_0000065";"";"";"";"";"0";"CHEMBL4651403";"Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging";"F";"BAO_0000218";"organism-based format";"Chlorocebus sabaeus";"None";"None";"Vero C1008";"None";"";"";"";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4651402";"57";"IMI-CARE SARS-CoV-2 Data";"";"2021";"CHEMBL4295411";"";"";"";"4.7"
"CHEMBL2103840";"DINACICLIB";"3.0";"396.50";"0";"2.28";"MK7965; SCH727965";"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"22.70";"0.42";"6.72";"9.72";"1";"CHEMBL4346788";"Inhibition of recombinant CDK2 (unknown origin) expressed in baculovirus infected Sf9 insect cells using biotinylated-histone H1 as substrate incubated for 1 hr in presence of cyclin by [33P]-ATP-based liquid scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346652";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3308860";"";"";"";"1.0"
"CHEMBL2103774";"TIBOLONE";"4.0";"312.45";"0";"3.88";"TIBOLONE";"C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909194";"DRUGMATRIX: Protease, Cathepsin G enzyme inhibition (substrate: Suc-Ala-Ala-Pro-Phe-AMC)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Neutrophil";"None";"";"";"";"CHEMBL4071";"Cathepsin G";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308052";"";"";"";""
"CHEMBL2103774";"TIBOLONE";"4.0";"312.45";"0";"3.88";"TIBOLONE";"C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909195";"DRUGMATRIX: Peptidase, ELA2 (Neutrophil Elastase 2) enzyme inhibition (substrate: N-MeOSuc-Ala-Ala-Pro-Val-pNA)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Neutrophil";"None";"";"";"";"CHEMBL248";"Leukocyte elastase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308052";"";"";"";""
"CHEMBL2103840";"DINACICLIB";"3.0";"396.50";"0";"2.28";"dinaciclib";"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12";"IC50";"'<'";"5.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2380108";"Cytotoxicity against human SK-BR-3 cells after 72 hrs by resazurin/resorufin-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL613834";"SK-BR-3";"Homo sapiens";"CELL-LINE";"CHEMBL2375244";"1";"Scientific Literature";"J Med Chem";"2013";"CHEMBL3308062";"";"";"";"0.005"
"CHEMBL2103840";"DINACICLIB";"3.0";"396.50";"0";"2.28";"SCH727965";"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4386179";"Antiproliferative activity against human MCF7 cells assessed as growth inhibition measured after 72 hrs by calcein AM dye-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL387";"MCF7";"Homo sapiens";"CELL-LINE";"CHEMBL4385606";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3308403";"";"";"";"0.006"
"CHEMBL2103875";"TRAMETINIB";"4.0";"615.40";"1";"3.94";"trametinib";"CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1";"IC50";"'='";"3.4";"nM";"8.47";"";"";"UO_0000065";"13.76";"0.31";"4.53";"7.90";"0";"CHEMBL3136009";"Inhibition of B-Raf activated MEK1 (unknown origin) assessed as ERK2-mediated MBP phosphorylation after 30 mins by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3587";"Dual specificity mitogen-activated protein kinase kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3132762";"1";"Scientific Literature";"Medchemcomm";"2014";"None";"";"";"";"3.4"
"CHEMBL2103840";"DINACICLIB";"3.0";"396.50";"0";"2.28";"DIN";"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"21.50";"0.40";"6.24";"9.20";"0";"CHEMBL5136664";"Inhibition of His-tagged CDK2/cyclin E1 (unknown origin) expressed in Sf9 cells using histone H1 as substrate in presence of ATP and [gamma33-P]ATP by radioisotope filter binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1907605";"Cyclin-dependent kinase 2/cyclin E1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5131567";"1";"Scientific Literature";"J Med Chem";"2022";"None";"";"INHIBITOR";"";"0.003"
