"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL93";"ZILEUTON";"4.0";"236.30";"0";"2.73";"ZILEUTON";"CC(c1cc2ccccc2s1)N(O)C(N)=O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"";""
"CHEMBL505187";"GSK-718429A";"None";"528.62";"2";"7.34";"GSK718429A";"CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccc(OCc4ccccc4)cc3)c2)n1";"Inhibition";"'='";"2.75";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962281";"GSK_PKIS: ERBB2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";"";"";"";"2.75"
"CHEMBL2048912";"";"None";"522.03";"2";"5.08";"51m";"CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21";"IC50";"'='";"0.98";"nM";"9.01";"";"";"UO_0000065";"17.26";"0.34";"3.93";"7.51";"0";"CHEMBL2050648";"Inhibition of N-terminus peptide-tagged human recombinant HER2 expressed using baculovirus infection system using [gamma-33P]-ATP preincubated with compound for 5 mins measured after 10 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"0.98"
"CHEMBL2048911";"";"None";"570.51";"2";"5.10";"50m";"Cl.O=C(NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21)[C@@H]1CCCN1";"IC50";"'='";"0.92";"nM";"9.04";"";"";"UO_0000065";"16.92";"0.33";"3.94";"8.53";"0";"CHEMBL2050648";"Inhibition of N-terminus peptide-tagged human recombinant HER2 expressed using baculovirus infection system using [gamma-33P]-ATP preincubated with compound for 5 mins measured after 10 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"0.92"
"CHEMBL2048795";"";"None";"435.87";"0";"4.11";"42g";"O=C1Cc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c2N1";"IC50";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"20.24";"0.39";"4.71";"8.71";"0";"CHEMBL2050648";"Inhibition of N-terminus peptide-tagged human recombinant HER2 expressed using baculovirus infection system using [gamma-33P]-ATP preincubated with compound for 5 mins measured after 10 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"1.5"
"CHEMBL2048794";"";"None";"435.87";"0";"3.86";"42f";"O=C1NCc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c21";"IC50";"'='";"2.5";"nM";"8.60";"";"";"UO_0000065";"19.74";"0.38";"4.74";"8.49";"0";"CHEMBL2050648";"Inhibition of N-terminus peptide-tagged human recombinant HER2 expressed using baculovirus infection system using [gamma-33P]-ATP preincubated with compound for 5 mins measured after 10 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"2.5"
"CHEMBL2048791";"";"None";"435.87";"0";"4.11";"42c";"O=C1Cc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc2N1";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"17.33";"0.33";"3.44";"7.46";"0";"CHEMBL2050648";"Inhibition of N-terminus peptide-tagged human recombinant HER2 expressed using baculovirus infection system using [gamma-33P]-ATP preincubated with compound for 5 mins measured after 10 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"28.0"
"CHEMBL2048789";"";"None";"435.87";"0";"3.86";"42a";"O=C1NCc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc21";"IC50";"'='";"1.3";"nM";"8.89";"";"";"UO_0000065";"20.39";"0.39";"5.03";"8.77";"0";"CHEMBL2050648";"Inhibition of N-terminus peptide-tagged human recombinant HER2 expressed using baculovirus infection system using [gamma-33P]-ATP preincubated with compound for 5 mins measured after 10 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"1.3"
"CHEMBL4785221";"";"None";"468.56";"0";"3.47";"4a";"C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncn(C)c(=O)c23)c1";"IC50";"'='";"146.0";"nM";"6.84";"";"";"UO_0000065";"14.59";"0.27";"3.37";"7.92";"0";"CHEMBL4670947";"Inhibition of C-terminal His6-tagged HER2 (703 to 1029 residues) (unknown origin) expressed in Sf9 insect cells using TK as substrate preincubated for 30 mins followed by substrate addition and measured after 60 mins in presence of XL665-labeled streptavidin by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4665812";"1";"Scientific Literature";"J Med Chem";"2020";"None";"TIME = 1.5 hr";"INHIBITOR";"";"146.0"
"CHEMBL4777342";"";"None";"418.79";"0";"3.64";"21";"Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1";"Inhibition";"'='";"-1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4666993";"Inhibition of recombinant human His-tagged ERBB2 (676 to 1255 residues) expressed in baculovirus expression system using Tyr 06 as substrate at 0.1 uM incubated for 60 mins by Z'-Lyte assay relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4665643";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"Dose = 0.1 microM | TIME = 1.0 hr";"";"";"-1.0"
"CHEMBL4785812";"";"None";"455.34";"0";"2.77";"29";"CN1C(=O)[C@@H](NC(=O)c2n[nH]c3ncc(C(F)(F)C(F)(F)F)cc23)COc2ccccc21";"Inhibition";"'='";"2.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4667146";"Inhibition of recombinant human His-tagged ERBB2 (676 to 1255 residues) expressed in baculovirus expression system using Tyr 06 as substrate at 10 uM incubated for 60 mins by Z'-Lyte assay relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4665648";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"Dose = 10.0 microM | TIME = 1.0 hr";"";"";"2.0"
"CHEMBL4780210";"";"None";"564.01";"1";"4.35";"6f";"Cc1ccc(C2=N/C(=C\c3ccc(Cl)cc3)C(=O)NN2C(=O)c2nc3c(c(C)nn3-c3ccccc3)c(=O)[nH]2)cc1";"IC50";"'='";"11211.4";"nM";"4.95";"";"";"UO_0000065";"8.78";"0.16";"0.60";"3.95";"0";"CHEMBL4737326";"Inhibition of HER2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4732181";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"";"INHIBITOR";"";"11.2114"
"CHEMBL197525";"";"None";"398.89";"0";"4.51";"10b";"COc1ccc(Nc2ncnc3cccc(OC4CCN(C)CC4)c23)cc1Cl";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"14.94";"0.29";"1.45";"10.01";"0";"CHEMBL881955";"Inhibitory concentration against erbB2 kinase phosphorylation using synthetic peptide as a substrate";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141048";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"1.1"
"CHEMBL2048795";"";"None";"435.87";"0";"4.11";"42g";"O=C1Cc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c2N1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL2050650";"Pseudo-irreversible inhibition of N-terminus peptide-tagged human recombinant HER2 expressed using baculovirus infection system using [gamma-33P]-ATP preincubated with compound for 5 mins at 10 times IC50 concentration measured after 10 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";""
"CHEMBL2048903";"";"None";"420.86";"0";"4.49";"42k";"OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5[nH]ncc45)c(Cl)c3)c21";"IC50";"'='";"1.7";"nM";"8.77";"";"";"UO_0000065";"20.84";"0.40";"4.28";"8.69";"0";"CHEMBL2050648";"Inhibition of N-terminus peptide-tagged human recombinant HER2 expressed using baculovirus infection system using [gamma-33P]-ATP preincubated with compound for 5 mins measured after 10 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2046372";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"1.7"
"CHEMBL207410";"GW772405X";"None";"486.93";"1";"5.35";"8h";"CNC(=O)c1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"15.39";"0.29";"2.14";"9.84";"0";"CHEMBL861551";"Inhibition of ErbB2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147004";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.032"
"CHEMBL379093";"GW651576X";"None";"429.88";"1";"5.99";"8a";"Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ccccc3)cc2Cl)c1";"IC50";"'='";"780.0";"nM";"6.11";"";"";"UO_0000065";"14.21";"0.27";"0.12";"12.98";"0";"CHEMBL861551";"Inhibition of ErbB2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147004";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.78"
"CHEMBL362824";"";"None";"628.13";"2";"5.75";"7o (table 4)";"CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCC(O)(O)CC1";"IC50";"'='";"58.0";"nM";"7.24";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL874202";"Inhibition of human epidermal growth factor receptor-2 (HER-2) autophosphorylation";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142663";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"0.058"
"CHEMBL153763";"";"None";"624.19";"2";"8.24";"7p (table 4)";"CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1C(C)CCCC1C";"IC50";"'='";"412.0";"nM";"6.38";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL874202";"Inhibition of human epidermal growth factor receptor-2 (HER-2) autophosphorylation";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142663";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"0.412"
"CHEMBL178199";"";"None";"570.09";"2";"6.58";"25c (table 3)";"CCOc1cc2ncc(C#N)c(Nc3ccc(OCCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C";"IC50";"'='";"281.0";"nM";"6.55";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL874202";"Inhibition of human epidermal growth factor receptor-2 (HER-2) autophosphorylation";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142663";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"0.281"
"CHEMBL1384";"KANAMYCIN";"4.0";"484.50";"2";"-7.29";"KANAMYCIN";"NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"";""
"CHEMBL4748367";"";"None";"448.55";"0";"3.56";"71";"CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F";"Inhibition";"'='";"58.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4718854";"Inhibition of recombinant human His-tagged ERBB2 (676 to 1255 residues) expressed in baculovirus expression system at 500 nM using Tyr 06 peptide as substrate incubated for 1 hr in presence of ATP at its Km concentration by Z'-LYTE assay relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715760";"1";"Scientific Literature";"Eur J Med Chem";"2016";"None";"Dose = 500.0 nM | TIME = 1.0 hr";"INHIBITOR";"";"58.0"
"CHEMBL421047";"";"None";"507.88";"2";"5.60";"42";"CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OC(F)(F)F";"IC50";"'='";"4130.0";"nM";"5.38";"";"";"UO_0000065";"10.60";"0.21";"-0.22";"5.96";"0";"CHEMBL769139";"Concentration required to inhibit autophosphorylation of cytoplasmic domain of human epidermal growth factor receptor-2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145020";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"4.13"
"CHEMBL4763836";"";"None";"517.03";"2";"5.31";"15i";"Cc1cccc(Oc2ccc(Nc3ncnc4ccc(NC(=O)CN5CCN(C)CC5)cc34)cc2Cl)c1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4724226";"Inhibition of HER2 in human AU565 cells assessed as reduction in Akt phosphorylation at IC50 incubated after 24 to 72 hrs by Western blot analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"AU565";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715878";"1";"Scientific Literature";"J Med Chem";"2020";"None";"Time_Lower = 24.0 hrs | Time_Upper = 72.0 hrs";"";"";""
"CHEMBL408564";"";"None";"347.17";"0";"3.33";"SB-739452";"O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CC1";"Inhibition";"'='";"1.49";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962280";"GSK_PKIS: ERBB2 mean inhibition at 0.1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";"";"";"";"1.49"
"CHEMBL113996";"";"None";"495.94";"0";"4.48";"41";"COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCC1";"IC50";"'='";"31430.0";"nM";"4.50";"";"";"UO_0000065";"9.08";"0.18";"0.02";"4.52";"0";"CHEMBL769139";"Concentration required to inhibit autophosphorylation of cytoplasmic domain of human epidermal growth factor receptor-2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145020";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"31.43"
